date_application	top_liste	prix_fht	prix_ttc	top_sur_facture	type_marge	code_marge	marge_ttc	date_source_doc	type_source_doc	code_ucd
2010-01-01	1	25.57	26.11	N	0	3	22	2009-04-29	JO	9009994
2010-01-01	1	2.7	2.76	N	0	3	22	2009-04-29	JO	9019840
2010-01-01	1	4.5	4.59	N	0	3	22	2009-04-29	JO	9019857
2010-01-01	1	0.336	0.34	N	0	3	22	2009-04-29	JO	9024114
2010-01-01	1	4.308	4.4	N	0	3	22	2009-04-29	JO	9025711
2010-01-01	1	7	7.15	N	0	3	22	2009-04-29	JO	9036689
2010-01-01	1	10.77	11	N	0	3	22	2009-04-29	JO	9043494
2010-01-01	1	0	0	O	0	3	22	2009-04-29	JO	9058596
2011-05-25	1	3.92	4	N	0	3	22	2011-05-24	JO	9058685
2010-01-01	1	1.34	1.37	N	0	3	22	2009-04-29	JO	9063781
2010-01-01	1	0	0	O	0	3	22	2009-04-29	JO	9065107
2010-01-01	1	0.18	0.18	N	0	3	22	2009-04-29	JO	9076080
2010-01-01	1	0	0	O	0	3	22	2009-04-29	JO	9085647
2010-01-01	1	0	0	O	0	3	22	2009-04-29	JO	9087959
2010-01-01	1	1.87	1.91	N	0	3	22	2009-04-29	JO	9088284
2010-01-01	1	0	0	O	0	3	22	2009-04-29	JO	9093061
2010-01-01	1	51.37	52.45	N	0	3	22	2009-04-29	JO	9106993
2005-05-11	2	126	128.65				0	2005-05-10	JO	9109000
2012-01-01	1	229.5	234.32	N	0	3	22	2011-11-29	JO	9109827
2017-03-02	1	1.53	1.56	N	0	4	0	2017-08-28	JO	9109862
2010-01-01	1	1.6	1.63	N	0	3	22	2009-04-29	JO	9117867
2010-01-01	1	0.38	0.39	N	0	3	22	2009-04-29	JO	9118996
2010-01-01	1	1.101	1.12	N	0	3	22	2009-04-29	JO	9119659
2010-01-01	1	25.79	26.33	N	0	3	22	2009-04-29	JO	9120651
2010-01-01	1	86.35	88.16	N	0	3	22	2009-04-29	JO	9120668
2012-01-01	1	124.2	126.81	N	0	3	22	2011-11-29	JO	9122348
2010-01-01	1	135	137.84	N	0	3	22	2009-04-29	JO	9123201
2010-01-01	1	2.751	2.81	N	0	3	22	2009-04-29	JO	9124442
2010-01-01	1	4	4.08	N	0	3	22	2009-04-29	JO	9124494
2020-01-01	1	10.659	10.88	N	0	3	22	2019-12-03	JO	9125157
2010-01-01	1	13.159	13.44	N	0	3	22	2009-04-29	JO	9125157
2020-01-01	1	20.745	21.18	N	0	3	22	2019-12-03	JO	9125163
2010-01-01	1	25.611	26.15	N	0	3	22	2009-04-29	JO	9125163
2020-01-01	1	37.485	38.27	N	0	3	22	2019-12-03	JO	9125186
2010-01-01	1	46.278	47.25	N	0	3	22	2009-04-29	JO	9125186
2018-02-01	1	21.142	21.59	N	0	3	22	2018-02-01	JO	9130945
2010-01-01	1	35.237	35.98	N	0	3	22	2009-04-29	JO	9130945
2010-01-01	1	0	0	O	0	3	22	2009-04-29	JO	9134110
2010-01-01	1	3.3	3.37	N	0	3	22	2009-04-29	JO	9136876
2010-01-01	1	22	22.46	N	0	3	22	2009-04-29	JO	9137172
2010-01-01	2	22	22.46				0	2009-06-19	JO	9137172
2010-01-01	1	103	105.16	N	0	3	22	2009-04-29	JO	9137189
2010-01-01	2	103	105.16				0	2009-06-19	JO	9137189
2010-01-01	1	8	8.17	N	0	3	22	2009-04-29	JO	9137551
2011-02-10	1	501.56	512.09	N	0	3	22	2011-02-09	JO	9137580
2005-05-11	2	501.56	512.09				0	2005-05-10	JO	9137580
2010-01-01	1	3.65	3.73	N	0	3	22	2009-04-29	JO	9143793
2019-01-01	1	7.92	8.09	N	0	3	22	2018-11-13	JO	9144321
2010-01-01	1	18	18.38	N	0	3	22	2009-04-29	JO	9144321
2019-01-01	1	3.52	3.59	N	0	3	22	2018-11-13	JO	9144338
2010-01-01	1	8	8.17	N	0	3	22	2009-04-29	JO	9144338
2010-01-01	1	18	18.38	N	0	3	22	2009-04-29	JO	9145332
2009-09-01	2	18	18.38				0	2009-06-19	JO	9145332
2010-01-01	1	18	18.38	N	0	3	22	2009-04-29	JO	9145349
2009-09-01	2	18	18.38				0	2009-06-19	JO	9145349
2010-01-01	1	35	35.74	N	0	3	22	2009-04-29	JO	9145355
2009-09-01	2	35	35.74				0	2009-06-19	JO	9145355
2010-01-01	1	88	89.85	N	0	3	22	2009-04-29	JO	9145361
2009-09-01	2	88	89.85				0	2009-06-19	JO	9145361
2010-01-01	1	88	89.85	N	0	3	22	2009-04-29	JO	9145378
2009-09-01	2	88	89.85				0	2009-06-19	JO	9145378
2010-01-01	1	4	4.08	N	0	3	22	2009-04-29	JO	9145444
2010-01-01	1	14	14.29	N	0	3	22	2009-04-29	JO	9145450
2010-01-01	1	1.6	1.63	N	0	3	22	2009-04-29	JO	9149063
2010-01-01	1	1.3	1.33	N	0	3	22	2009-04-29	JO	9149086
2010-01-01	1	2.7	2.76	N	0	3	22	2009-04-29	JO	9149092
2010-01-01	1	2.3	2.35	N	0	3	22	2009-04-29	JO	9149100
2010-01-01	1	4.5	4.59	N	0	3	22	2009-04-29	JO	9149117
2010-01-01	1	3.3	3.37	N	0	3	22	2009-04-29	JO	9149123
2010-01-01	1	3.6	3.68	N	0	3	22	2009-04-29	JO	9149821
2010-01-01	1	7.1	7.25	N	0	3	22	2009-04-29	JO	9149838
2012-01-01	1	109.06	111.35	N	0	3	22	2011-09-09	JO	9153395
2012-01-01	2	109.06	111.35				0	2011-08-30	JO	9153395
2012-01-01	1	59.17	60.41	N	0	3	22	2011-09-09	JO	9153403
2012-01-01	2	59.17	60.41				0	2011-08-30	JO	9153403
2010-01-01	1	1.465	1.5	N	0	3	22	2009-04-29	JO	9153691
2010-01-01	1	2.197	2.24	N	0	3	22	2009-04-29	JO	9153716
2010-01-01	1	0.443	0.45	N	0	3	22	2009-04-29	JO	9153722
2010-01-01	1	0.754	0.77	N	0	3	22	2009-04-29	JO	9153739
2010-01-01	1	264	269.54	N	0	3	22	2009-04-29	JO	9153857
2009-09-01	2	264	269.54				0	2009-06-19	JO	9153857
2010-01-01	1	22.07	22.53	N	0	3	22	2009-04-29	JO	9154182
2010-01-01	1	4	4.08	N	0	3	22	2009-04-29	JO	9156086
2010-01-01	1	26.1	26.65	N	0	3	22	2009-04-29	JO	9157364
2010-01-01	1	4	4.08	N	0	3	22	2009-04-29	JO	9157849
2010-01-01	1	14	14.29	N	0	3	22	2009-04-29	JO	9157855
2010-01-01	1	864	882.14	N	0	3	22	2009-04-29	JO	9160509
2005-05-11	2	864	882.14				0	2005-05-10	JO	9160509
2010-01-01	1	116	118.44	N	0	3	22	2009-04-29	JO	9162336
2016-12-01	1	8.55	8.73	N	0	3	22	2016-11-25	JO	9163577
2009-03-01	2	45	45.95				0	2008-12-24	JO	9163577
2010-01-01	1	0.348	0.36	N	0	3	22	2009-04-29	JO	9166883
2010-01-01	1	0.201	0.21	N	0	3	22	2009-04-29	JO	9166908
2012-06-21	1	4.5	4.59	N	0	3	22	2012-06-20	JO	9166914
2010-01-01	1	16.5	16.85	N	0	3	22	2009-04-29	JO	9167411
2010-01-01	1	230	234.83	N	0	3	22	2009-04-29	JO	9168014
2005-05-11	2	230	234.83				0	2005-05-10	JO	9168014
2010-01-01	1	660	673.86	N	0	3	22	2009-04-29	JO	9170169
2005-05-11	2	660	673.86				0	2005-05-10	JO	9170169
2019-12-20	1	9200	9393.2	N	0	3	22	2019-12-18	JO	9170175
2019-12-20	2	9200	9393.2				0	2019-12-18	JO	9170175
2010-01-01	1	2300	2348.3	N	0	3	22	2009-04-29	JO	9170175
2005-05-11	2	2300	2348.3				0	2005-05-10	JO	9170175
2017-07-01	1	100	102.1	N	0	3	22	2017-06-13	JO	9170442
2017-07-01	2	100	102.1				0	2017-06-13	JO	9170442
2010-08-01	1	125	127.63	N	0	3	22	2010-06-25	JO	9170442
2010-08-01	2	125	127.63				0	2010-06-25	JO	9170442
2017-07-01	1	200	204.2	N	0	3	22	2017-06-13	JO	9170459
2017-07-01	2	200	204.2				0	2017-06-13	JO	9170459
2010-08-01	1	250	255.25	N	0	3	22	2010-06-25	JO	9170459
2010-08-01	2	250	255.25				0	2010-06-25	JO	9170459
2010-01-01	1	174	177.65	N	0	3	22	2009-04-29	JO	9171341
2005-05-11	2	174	177.65				0	2005-05-10	JO	9171341
2010-01-01	1	203	207.26	N	0	3	22	2009-04-29	JO	9172607
2005-05-11	2	203	207.26				0	2005-05-10	JO	9172607
2010-01-01	1	158.33	161.65	N	0	3	22	2009-04-29	JO	9173311
2009-09-01	2	158.33	161.65				0	2009-05-28	JO	9173311
2015-10-01	2	601.25	613.88				0	2015-09-18	JO	9173475
2011-01-01	1	41.7	42.58	N	0	3	22	2010-04-23	JO	9175511
2011-01-01	2	41.7	42.58				0	2010-04-23	JO	9175511
2010-01-01	1	4	4.08	N	0	3	22	2009-04-29	JO	9175801
2005-05-11	2	950	969.95				0	2005-05-10	JO	9177177
2010-01-01	1	2.784	2.84	N	0	3	22	2009-04-29	JO	9177579
2010-01-01	1	2.898	2.96	N	0	3	22	2009-04-29	JO	9177585
2010-01-01	1	3.022	3.09	N	0	3	22	2009-04-29	JO	9177591
2010-01-01	1	3.136	3.2	N	0	3	22	2009-04-29	JO	9177616
2010-01-01	1	0	0	O	0	3	22	2009-04-29	JO	9177881
2011-09-01	1	69.84	71.31	N	0	3	22	2011-07-26	JO	9178082
2011-09-01	2	69.84	71.31				0	2011-07-26	JO	9178082
2011-09-01	1	271.6	277.3	N	0	3	22	2011-07-26	JO	9178099
2011-09-01	2	271.6	277.3				0	2011-07-26	JO	9178099
2010-01-01	1	0	0	O	0	3	22	2009-04-29	JO	9178811
2010-01-01	1	104	106.18	N	0	3	22	2009-04-29	JO	9179029
2005-05-11	2	104	106.18				0	2005-05-10	JO	9179029
2010-01-01	1	1.3	1.33	N	0	3	22	2009-04-29	JO	9179213
2010-01-01	1	2.3	2.35	N	0	3	22	2009-04-29	JO	9179236
2010-01-01	1	3.3	3.37	N	0	3	22	2009-04-29	JO	9179242
2018-12-31	2	834.813	852.34				0	2018-12-14	JO	9179650
2012-03-01	1	902.5	921.45	N	0	3	22	2012-01-24	JO	9179650
2012-03-01	2	902.5	921.45				0	2012-01-24	JO	9179650
2018-12-31	2	417.406	426.17				0	2018-12-14	JO	9179667
2012-03-01	1	451.25	460.73	N	0	3	22	2012-01-24	JO	9179667
2012-03-01	2	451.25	460.73				0	2012-01-24	JO	9179667
2010-01-01	1	1.6	1.63	N	0	3	22	2009-04-29	JO	9180073
2010-01-01	1	2.4	2.45	N	0	3	22	2009-04-29	JO	9180096
2010-01-01	1	110.01	112.32	N	0	3	22	2009-04-29	JO	9180104
2010-01-01	1	0.775	0.79	N	0	3	22	2009-04-29	JO	9180802
2010-01-01	1	1.55	1.58	N	0	3	22	2009-04-29	JO	9180819
2010-01-01	1	1.126	1.15	N	0	3	22	2009-04-29	JO	9181664
2017-04-01	1	648	661.61	N	0	3	22	2017-03-17	JO	9181670
2017-04-01	2	648	661.61				0	2017-03-17	JO	9181670
2012-03-01	1	720	735.12	N	0	3	22	2012-01-03	JO	9181670
2012-03-01	2	720	735.12				0	2012-01-03	JO	9181670
2017-04-01	1	324	330.8	N	0	3	22	2017-03-17	JO	9181687
2017-04-01	2	324	330.8				0	2017-03-17	JO	9181687
2012-03-01	1	360	367.56	N	0	3	22	2012-01-03	JO	9181687
2012-03-01	2	360	367.56				0	2012-01-03	JO	9181687
2012-03-01	1	1459.2	1489.84	N	0	3	22	2011-11-29	JO	9181753
2012-03-01	2	1459.2	1489.84				0	2011-11-29	JO	9181753
2012-03-01	1	2918.4	2979.69	N	0	3	22	2011-11-29	JO	9181776
2012-03-01	2	2918.4	2979.69				0	2011-11-29	JO	9181776
2012-03-01	1	729.6	744.92	N	0	3	22	2011-11-29	JO	9181782
2012-03-01	2	729.6	744.92				0	2011-11-29	JO	9181782
2010-01-01	1	150	153.15	N	0	3	22	2009-04-29	JO	9182066
2005-05-11	2	150	153.15				0	2005-05-10	JO	9182066
2017-02-22	1	3.5	3.57	N	0	3	22	2017-02-21	JO	9182184
2011-12-07	1	2.023	2.07	N	0	3	22	2012-01-10	JO	9182184
