code_ucd	code_ucd_precedent	code_ucd_suivant	top_inscription	laboratoire	date_source_doc	type_source_doc	date_maj	libelle_long_ucd	conditionnement	observation	etat	rh	ph	pih	sp	ps	libelle_court_specialite	libelle_long_rcp	code_forme	libelle_forme	code_forme_complement	libelle_forme_complement	dosage	unite_dosage	voie_administration	code_atc	libelle_atc	code_ephmra	libelle_ephmra
9009994			0	PROSTRAKAN PHARMA	2009-04-29	JO	2009-12-30	BELUSTINE 40 mg	gelule	NA	D	N	O	N	O	O	BELUSTINE 40 MG GELULE	BELUSTINE 40 MG, GELULE	21	GELULE		NE PAS OUVRIR ORAL(E)				L01AD02	LOMUSTINE	L01A	AGENTS ALKYLANTS
9019840			0	AVENTIS	2009-04-29	JO	2009-12-30	CISPLATYL 25 mg	poudre et solvant pour solution pour perfusion	NA	S	N	O	N	O	O	CISPLATYL 25MG/25ML PDR SOL INJ	CISPLATYL 25 MG, POUDRE ET SOLVANT POUR SOLUTION POUR PERFUSION	44	POUDRE	387	POUDRE ET SOLVANT POUR SOLUTION PR PERF				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9019857			0	AVENTIS	2009-04-29	JO	2009-12-30	CISPLATYL 50 mg	poudre et solvant pour solution pour perfusion	NA	S	N	O	N	O	O	CISPLATYL 50MG/50ML PDR SOL INJ	CISPLATYL 50 MG, POUDRE ET SOLVANT POUR SOLUTION POUR PERFUSION	44	POUDRE	387	POUDRE ET SOLVANT POUR SOLUTION PR PERF				L01XA01	CISPLATINE	L01X2	DERIVES DU PLATINE
9024114			0	PFIZER	2019-02-21	JO	2019-02-21	DEBRIDAT 50 mg/5 ml	solution injectable en ampoule	NA	D	N	N	N	N	N	DEBRIDAT 50 MG SOL INJ	DEBRIDAT 50 mg/5 ml, solution injectable en ampoule	48	SOLUTION	295	SOLUTION INJECTABLE				A03AA05	TRIMEBUTINE	A03F	MEDICAMENTS DE LA MOTRICITE DIGESTIVE
9025711			0	AVENTIS	2009-04-29	JO	2009-12-30	DETICENE 100 mg	poudre et solvant pour solution pour perfusion	NA	D	N	O	N	O	O	DETICENE 100 MG PDR ET SOL INJ	DETICENE 100 MG, POUDRE ET SOLVANT POUR SOLUTION POUR PERFUSION	44	POUDRE	387	POUDRE ET SOLVANT POUR SOLUTION PR PERF				L01AX04	DACARBAZINE	L01A	AGENTS ALKYLANTS
9036689			0	BRISTOL MYERS SQUIBB	2009-04-29	JO	2009-12-30	FUNGIZONE 50 mg	poudre pour solution injectable	NA	D	N	O	N	N	N	FUNGIZONE 50MG PDR INJ	FUNGIZONE 50 MG, POUDRE POUR SOLUTION INJECTABLE	44	POUDRE	312	POUDRE POUR SOLUTION INJECTABLE	35.0000	MG	INJECTABLE	J02AA01	AMPHOTERICINE B	J02A	AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES
9043494			0	LABORATOIRES DELBERT	2017-12-19	JO	2017-12-26	HEXASTAT 100 mg	gelule	NA	D	N	N	O	O	O	HEXASTAT 100MG GELULE	HEXASTAT, GELULE	21	GELULE	328	NE PAS ECRASER NE PAS OUVRIR GELULE ORAL				L01XX03	ALTRETAMINE	L01A	AGENTS ALKYLANTS
9058596			0	DAKOTA PHARM	2009-04-29	JO	2009-12-30	METHYL GAG 100 MG	Poudre pour solution injectable	Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)	S	N	O	N	O	N	METHYL GAG 100MG PDR INJ	METHYL GAG 100 MG, POUDRE POUR SOLUTION INJECTABLE	44	POUDRE	312	POUDRE POUR SOLUTION INJECTABLE				L01XX16	MITOGUAZONE	L01X9	AUTRES ANTINEOPLASIQUES
9058685			0	ETABL.PHARMAC. DE L'APHP AGEPS	2011-05-24	JO	2011-05-25	MEXILETINE AP-HP 200 MG	Gelule	NA	D	N	O	N	O	N	MEXILETINE AP-HP 200MG GELULE	MEXILETINE APHP 200 mg, gelule	21	GELULE	328	NE PAS OUVRIR GELULE ORAL(E)				M09AX	AUTRES MEDICAMENTS DES DESORDRES MUSCULO-SQUELETTIQUES	M05X	AUTRE MEDICAMENT DES DESORDRES MUSCULAIRES ET DU SQUELETTE
9063781			0	AVENTIS	2009-04-29	JO	2009-12-30	NOTEZINE 100 mg	comprime secable	NA	D	N	N	N	N	N	NOTEZINE 100MG CPR	NOTEZINE 100 MG, COMPRIME SECABLE	15	COMPRIME	330	SECABLE COMPRIME ORAL(E) BISECABLE				P02CB02	DIETHYLCARBAMAZINE	P01B	ANTHELMINTHIQUES, SCHISTOSOMICIDES EXCLUS
9065107			0	EG LABO, EUROGENERICS	2009-04-29	JO	2009-12-30	ONCOVIN 1 MG	Solution injectable	Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)	D	N	O	N	O	O	ONCOVIN 1 MG SOL INJ	ONCOVIN 1 MG/1 ML, SOLUTION INJECTABLE	48	SOLUTION	295	SOLUTION INJECTABLE				L01CA02	VINCRISTINE	L01C1	ANTICANCEREUX ALACALOIDES DE VINCA
